,id_collar,id_itm,id_user,lat,lng,time_stamp,month
0,AV338,1FAE67D,3508,36.823682002,-4.867978943,2022-02-01 00:11:25,2
1,AV337,1FAE5DE,3508,36.823758297,-4.867811093,2022-02-01 00:25:14,2
2,AO771,BF8B66,3508,36.824032959,-4.868421454,2022-02-01 00:32:24,2
3,AV338,1FAE67D,3508,36.823575189,-4.867643244,2022-02-01 00:41:16,2
4,AV337,1FAE5DE,3508,36.823682002,-4.867887388,2022-02-01 00:55:17,2
5,AV338,1FAE67D,3508,36.823514153,-4.867902647,2022-02-01 01:10:22,2
6,AO771,BF8B66,3508,36.824536507,-4.86848249,2022-02-01 01:33:10,2
7,AV338,1FAE67D,3508,36.823437858,-4.86802472,2022-02-01 01:40:43,2
8,AO771,BF8B66,3508,36.824200809,-4.868497749,2022-02-01 02:02:45,2
9,AV338,1FAE67D,3508,36.823575189,-4.867978943,2022-02-01 02:10:04,2
10,AV337,1FAE5DE,3508,36.823590448,-4.867978943,2022-02-01 02:26:03,2
11,AO771,BF8B66,3508,36.824078737,-4.86863508,2022-02-01 02:32:53,2
12,AV338,1FAE67D,3508,36.823987182,-4.868253605,2022-02-01 02:40:33,2
13,AO771,BF8B66,3508,36.824414435,-4.868787671,2022-02-01 03:03:15,2
14,AV338,1FAE67D,3508,36.823743038,-4.868131533,2022-02-01 03:10:08,2
15,AV337,1FAE5DE,3508,36.823804074,-4.86817731,2022-02-01 03:25:26,2
16,AO771,BF8B66,3508,36.824170291,-4.868604562,2022-02-01 03:33:15,2
17,AV338,1FAE67D,3508,36.823208972,-4.866971847,2022-02-01 03:40:06,2
18,AV337,1FAE5DE,3508,36.823743038,-4.86817731,2022-02-01 03:55:28,2
19,AO771,BF8B66,3508,36.82386511,-4.868238346,2022-02-01 04:03:29,2
20,AV338,1FAE67D,3508,36.823819333,-4.867994202,2022-02-01 04:09:23,2
21,AV337,1FAE5DE,3508,36.823834592,-4.868192569,2022-02-01 04:25:37,2
22,AO771,BF8B66,3508,36.824032959,-4.868299382,2022-02-01 04:33:37,2
23,AV338,1FAE67D,3508,36.823697261,-4.867994202,2022-02-01 04:40:00,2
24,AV338,1FAE67D,3508,36.823651484,-4.867887388,2022-02-01 05:09:48,2
25,AV337,1FAE5DE,3508,36.823651484,-4.867582208,2022-02-01 05:26:36,2
