id,time,lng,lat,pos_x,pos_y,pos_z,std_x,std_y,std_z,max_x,max_y,max_z,temp
AV333,2022-01-15 13:35:38,-3.591348135,37.164965286,2048,16384,2048,0,0,0,0,0,359.168,22.356
AV333,2022-01-15 14:05:34,-3.591332876,37.165011063,2048,16384,2048,0,0,0,359.168,0,359.168,22.356
AV333,2022-01-15 14:35:41,-3.591531243,37.164797436,2048,16384,2048,0,0,0,0,0,359.168,22.975
AV333,2022-01-15 15:05:49,-3.590920882,37.16505684,2048,16384,2048,0,0,0,359.168,0,359.168,19.882
AV333,2022-01-15 15:35:53,-3.591470207,37.165026322,2048,16384,2048,0,0,0,0,0,359.168,16.17
AV333,2022-01-15 16:05:58,-3.591409171,37.165087358,2048,16384,2048,0,0,0,0,0,359.168,14.314
AV333,2022-01-15 16:36:03,-3.591363394,37.165087358,2048,16384,2048,0,0,223.984,0,0,359.168,13.076
AV333,2022-01-15 17:06:11,-3.591439689,37.165087358,2048,16384,2048,0,0,0,0,0,359.168,11.839
AV333,2022-01-15 17:36:17,-3.591485466,37.165041581,2048,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-15 18:06:28,-3.591470207,37.165072099,2048,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-15 18:36:55,-3.591454948,37.16505684,2048,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-15 19:06:41,-3.591485466,37.16505684,2048,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-15 19:36:45,-3.591546502,37.16505684,2048,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-15 20:36:49,-3.591592279,37.165117876,2048,16384,2048,0,0,0,359.168,0,359.168,10.602
AV333,2022-01-15 21:06:55,-3.591454948,37.165102617,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-15 21:37:01,-3.591348135,37.165178912,2048,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-15 22:07:14,-3.591363394,37.165163653,2048,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-15 22:37:13,-3.591302358,37.164965286,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-15 23:07:18,-3.591515984,37.165087358,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-15 23:37:33,-3.591531243,37.165255207,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 00:37:35,-3.591378653,37.165163653,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 01:07:39,-3.591271839,37.165072099,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 01:37:46,-3.591348135,37.165178912,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 02:07:53,-3.591409171,37.165194171,0,16384,2048,0,0,0,359.168,0,359.168,10.602
AV333,2022-01-16 02:37:58,-3.59142443,37.165194171,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 02:37:58,-3.59142443,37.165194171,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 03:08:06,-3.591683833,37.165011063,0,16384,2048,0,0,0,359.168,0,359.168,10.602
AV333,2022-01-16 03:08:06,-3.591683833,37.165011063,0,16384,2048,0,0,0,359.168,0,359.168,10.602
AV333,2022-01-16 03:38:09,-3.591454948,37.165072099,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 04:08:21,-3.591409171,37.165072099,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 04:38:19,-3.591500725,37.165133135,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 05:08:25,-3.591439689,37.165133135,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 05:38:29,-3.591332876,37.165041581,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 06:08:35,-3.591241321,37.165102617,0,16384,2048,0,0,0,359.168,0,359.168,10.602
AV333,2022-01-16 06:38:45,-3.591363394,37.165224689,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 07:08:43,-3.591363394,37.165087358,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 07:38:49,-3.591332876,37.165102617,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 08:08:54,-3.591363394,37.165163653,0,16384,2048,0,0,0,359.168,0,359.168,10.602
AV333,2022-01-16 08:38:59,-3.591393912,37.165178912,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 09:09:05,-3.591439689,37.165194171,0,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 09:39:10,-3.591485466,37.16520943,2048,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 10:09:50,-3.591470207,37.165026322,2048,16384,2048,0,0,0,359.168,0,359.168,10.602
AV333,2022-01-16 10:39:24,-3.591515984,37.165072099,2048,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 11:09:28,-3.591561761,37.165117876,2048,16384,2048,0,0,0,0,0,359.168,13.695
AV333,2022-01-16 11:39:33,-3.591363394,37.165026322,2048,16384,2048,0,0,0,0,0,359.168,16.17
AV333,2022-01-16 12:09:46,-3.591378653,37.165270466,2048,16384,2048,0,0,0,0,0,359.168,19.263
AV333,2022-01-16 12:39:57,-3.591653315,37.165255207,2048,16384,2048,0,0,0,0,0,359.168,21.119
AV333,2022-01-16 13:09:52,-3.591332876,37.165163653,2048,16384,2048,0,0,0,359.168,0,359.168,22.975
AV333,2022-01-16 13:39:59,-3.59157702,37.165102617,2048,16384,2048,0,0,0,0,0,359.168,23.594
AV333,2022-01-16 14:10:07,-3.591210803,37.164888991,2048,16384,2048,0,0,0,0,0,359.168,24.212
AV333,2022-01-16 14:40:14,-3.591210803,37.164888991,2048,16384,2048,0,0,0,0,0,359.168,24.212
AV333,2022-01-16 15:10:21,-3.591454948,37.165011063,2048,16384,2048,0,0,0,359.168,0,359.168,20.5
AV333,2022-01-16 15:40:26,-3.591302358,37.165148394,2048,16384,2048,0,0,0,359.168,0,359.168,17.407
AV333,2022-01-16 16:10:31,-3.591302358,37.165041581,2048,16384,2048,0,0,0,359.168,0,359.168,15.551
AV333,2022-01-16 16:40:37,-3.591073472,37.164980545,2048,16384,2048,0,0,0,359.168,0,359.168,14.314
AV333,2022-01-16 17:10:45,-3.591241321,37.165270466,2048,16384,2048,0,0,0,359.168,0,359.168,13.076
AV333,2022-01-16 17:40:49,-3.591775387,37.164858473,2048,16384,2048,0,0,0,0,0,359.168,11.839
AV333,2022-01-16 18:11:27,-3.591485466,37.165026322,2048,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 18:41:04,-3.591515984,37.165041581,2048,16384,2048,0,0,0,0,0,359.168,10.602
AV333,2022-01-16 19:11:04,-3.591454948,37.164965286,2048,16384,2048,0,0,0,359.168,0,359.168,10.602
