-- ID: 
44732,,,,,,,,,,22,4,13,9,40,56,36.944206,-3.333757,,
54141,,,,,,,,,,22,4,13,9,46,4,36.944011,-3.333517,,
85728,,,,,,,,,,22,4,13,9,51,34,36.944023,-3.333387,,
99769,,,,,,,,,,22,4,13,9,56,46,36.944007,-3.333288,,
117210,,,,,,,,,,22,4,13,10,2,2,36.944004,-3.333385,,
125042,,,,,,,,,,22,4,13,10,7,8,36.944023,-3.333378,,
140246,,,,,,,,,,22,4,13,10,12,22,36.943950,-3.333447,,
148210,,,,,,,,,,22,4,13,10,17,28,36.943988,-3.333404,,
169299,,,,,,,,,,22,4,13,10,22,48,36.944011,-3.333515,,
177245,,,,,,,,,,22,4,13,10,27,54,36.943973,-3.333467,,
194298,,,,,,,,,,22,4,13,10,33,10,36.943901,-3.333436,,
207834,,,,,,,,,,22,4,13,10,38,22,36.943958,-3.333468,,
214805,,,,,,,,,,22,4,13,10,43,27,36.944038,-3.333453,,
236104,,,,,,,,,,22,4,13,10,48,47,36.943931,-3.333435,,
250837,,,,,,,,,,22,4,13,10,54,0,36.943962,-3.333469,,
259029,,,,,,,,,,22,4,13,10,59,7,36.943977,-3.333462,,
266629,,,,,,,,,,22,4,13,11,4,13,36.943988,-3.333523,,
311581,,,,,,,,,,22,4,13,11,9,56,36.943973,-3.333443,,
319042,,,,,,,,,,22,4,13,11,15,2,36.943969,-3.333411,,
337896,,,,,,,,,,22,4,13,11,20,19,36.944023,-3.333487,,
350311,,,,,,,,,,22,4,13,11,25,30,36.943996,-3.333483,,
364122,,,,,,,,,,22,4,13,11,30,42,36.943916,-3.333441,,
392373,,,,,,,,,,22,4,13,11,36,9,36.943965,-3.333405,,
433022,,,,,,,,,,22,4,13,11,41,48,36.943962,-3.333356,,
478203,,,,,,,,,,22,4,13,11,47,32,36.943908,-3.333442,,
486692,,,,,,,,,,22,4,13,11,52,38,36.943870,-3.333495,,
535885,,,,,,,,,,22,4,13,11,58,26,36.943923,-3.333448,,
546883,,,,,,,,,,22,4,13,12,3,35,36.943885,-3.333468,,
564196,,,,,,,,,,22,4,13,12,8,51,36.943901,-3.333442,,
601898,,,,,,,,,,22,4,13,12,14,27,36.943962,-3.333439,,
610361,,,,,,,,,,22,4,13,12,19,34,36.943946,-3.333458,,
618357,,,,,,,,,,22,4,13,12,24,40,36.944145,-3.333419,,
628343,,,,,,,,,,22,4,13,12,29,48,36.944023,-3.333405,,
656888,,,,,,,,,,22,4,13,12,35,16,36.943920,-3.333364,,
685982,,,,,,,,,,22,4,13,12,40,43,36.944000,-3.333237,,
724521,,,,,,,,,,22,4,13,12,46,20,36.944000,-3.333238,,
734505,,,,,,,,,,22,4,13,12,51,27,36.943988,-3.333312,,
781994,,,,,,,,,,22,4,13,12,57,14,36.943923,-3.333461,,
790522,,,,,,,,,,22,4,13,13,2,20,36.944011,-3.333466,,
804539,,,,,,,,,,22,4,13,13,7,32,36.943664,-3.333412,,
846339,,,,,,,,,,22,4,13,13,13,13,36.943935,-3.333436,,
889640,,,,,,,,,,22,4,13,13,18,55,36.943950,-3.333476,,
928442,,,,,,,,,,22,4,13,13,24,32,36.943866,-3.333530,,
936957,,,,,,,,,,22,4,13,13,29,39,36.943977,-3.333504,,
945487,,,,,,,,,,22,4,13,13,34,45,36.944023,-3.333478,,
953032,,,,,,,,,,22,4,13,13,39,51,36.943981,-3.333520,,
961058,,,,,,,,,,22,4,13,13,44,57,36.943927,-3.333446,,
975224,,,,,,,,,,22,4,13,13,50,10,36.944019,-3.333469,,
982753,,,,,,,,,,22,4,13,13,55,15,36.943920,-3.333449,,
991277,,,,,,,,,,22,4,13,14,0,22,36.943992,-3.333509,,
998761,,,,,,,,,,22,4,13,14,5,27,36.944000,-3.333458,,
1012747,,,,,,,,,,22,4,13,14,10,40,36.944061,-3.333401,,
1028205,,,,,,,,,,22,4,13,14,15,54,36.943977,-3.333402,,
1036145,,,,,,,,,,22,4,13,14,21,0,36.943958,-3.333515,,
1056419,,,,,,,,,,22,4,13,14,26,19,36.944011,-3.333484,,
1064169,,,,,,,,,,22,4,13,14,31,25,36.944038,-3.333447,,
1114167,,,,,,,,,,22,4,13,14,37,14,36.944023,-3.333384,,
1153615,,,,,,,,,,22,4,13,14,42,52,36.944038,-3.333380,,
1194339,,,,,,,,,,22,4,13,14,48,31,36.943992,-3.333396,,
1226650,,,,,,,,,,22,4,13,14,54,2,36.944053,-3.333352,,
1234516,,,,,,,,,,22,4,13,14,59,8,36.944351,-3.333399,,
1256706,,,,,,,,,,22,4,13,15,4,29,36.945045,-3.332340,,
1322148,,,,,,,,,,22,4,13,15,10,33,36.944515,-3.330740,,
1380479,,,,,,,,,,22,4,13,15,16,30,36.943405,-3.331037,,
1388133,,,,,,,,,,22,4,13,15,21,36,36.943759,-3.331152,,
1395165,,,,,,,,,,22,4,13,15,26,41,36.943462,-3.331037,,
1402658,,,,,,,,,,22,4,13,15,31,47,36.943664,-3.331197,,
1410188,,,,,,,,,,22,4,13,15,36,52,36.943260,-3.331290,,
1417696,,,,,,,,,,22,4,13,15,41,58,36.943462,-3.331748,,
1425226,,,,,,,,,,22,4,13,15,47,3,36.942375,-3.331616,,
1432785,,,,,,,,,,22,4,13,15,52,9,36.942352,-3.331743,,
1440344,,,,,,,,,,22,4,13,15,57,14,36.942291,-3.331845,,
1455391,,,,,,,,,,22,4,13,16,2,28,36.942295,-3.331708,,
1462930,,,,,,,,,,22,4,13,16,7,34,36.942573,-3.331662,,
1470470,,,,,,,,,,22,4,13,16,12,39,36.942680,-3.331168,,
1478033,,,,,,,,,,22,4,13,16,17,45,36.942539,-3.331511,,
1485570,,,,,,,,,,22,4,13,16,22,50,36.942462,-3.331568,,
1500775,,,,,,,,,,22,4,13,16,28,4,36.942588,-3.331444,,
1509346,,,,,,,,,,22,4,13,16,33,10,36.942375,-3.331702,,
1516414,,,,,,,,,,22,4,13,16,38,15,36.942283,-3.331773,,
1523500,,,,,,,,,,22,4,13,16,43,21,36.942237,-3.331780,,
1537609,,,,,,,,,,22,4,13,16,48,34,36.942657,-3.331404,,
1546195,,,,,,,,,,22,4,13,16,53,41,36.943016,-3.331542,,
1554770,,,,,,,,,,22,4,13,16,58,47,36.943187,-3.331438,,
1563384,,,,,,,,,,22,4,13,17,3,54,36.943225,-3.331758,,
1573006,,,,,,,,,,22,4,13,17,9,1,36.943283,-3.331724,,
1589171,,,,,,,,,,22,4,13,17,14,16,36.944030,-3.331130,,
1597763,,,,,,,,,,22,4,13,17,19,22,36.943813,-3.331301,,
1610727,,,,,,,,,,22,4,13,17,24,34,36.943859,-3.331259,,
1619304,,,,,,,,,,22,4,13,17,29,41,36.943927,-3.331152,,
1632016,,,,,,,,,,22,4,13,17,34,52,36.944873,-3.331282,,
1645119,,,,,,,,,,22,4,13,17,40,4,36.944854,-3.331934,,
1659627,,,,,,,,,,22,4,13,17,45,17,36.944946,-3.332754,,
1667196,,,,,,,,,,22,4,13,17,50,22,36.944381,-3.333377,,
1675760,,,,,,,,,,22,4,13,17,55,29,36.944274,-3.333309,,
1697401,,,,,,,,,,22,4,13,18,0,49,36.944385,-3.333635,,
1706914,,,,,,,,,,22,4,13,18,5,56,36.944496,-3.333559,,
1724279,,,,,,,,,,22,4,13,18,11,12,36.944435,-3.333623,,
1789774,,,,,,,,,,22,4,13,18,17,16,36.944343,-3.333709,,
1839694,,,,,,,,,,22,4,13,18,23,5,36.944477,-3.333575,,
1905900,,,,,,,,,,22,4,13,18,29,10,36.944252,-3.333830,,
1971567,,,,,,,,,,22,4,13,18,35,14,36.944389,-3.333856,,
2037719,,,,,,,,,,22,4,13,18,41,19,36.944377,-3.333491,,
2103298,,,,,,,,,,22,4,13,18,47,23,36.944385,-3.333581,,
2169281,,,,,,,,,,22,4,13,18,53,28,36.944366,-3.333627,,
2234702,,,,,,,,,,22,4,13,18,59,31,36.944435,-3.333252,,
